【正解】: 2 | 【予測】: 2 (1.886888) | OOV: 7/79 | 【本文】: Way to complicated. And you hand over total permission for others to see your records. Bad! I had a loser md who retaliated against me when I requested he correct mistakes in his report. He created a false, actually scary report & then disseminated it. New mds would not take me because of this fake report. Now I have to sue him. BE CAUTIOUS ON YOUR MEDICAL RECORDS!  SOFTWARE LIKE THIS WANTS YOU TO GRANT FULL CONTROL. BEWARE!!!
【正解】: 2 | 【予測】: 2 (1.8431296) | OOV: 8/18 | 【本文】: No era lo que esperaba, la.pieza bo se ve bien definida, es mas pequeña de lo que necesitaba
【正解】: 2 | 【予測】: 2 (1.9054438) | OOV: 3/37 | 【本文】: Like my title says I literally hate this game. It was easy at first now it's hard. So I don't play it anymore. Probably one of the games I have downloaded. Yeah, it was that bad. :/
【正解】: 2 | 【予測】: 2 (1.9039807) | OOV: 8/118 | 【本文】: I suppose if you are familiar with old school publishing programs, Serif has been around for quite awhile, than this is a solid program for the money; but if you are a newbie or need some guidelines stay away from this.  Whatever SUPPORT there used to be is NO LONGER AVAILABLE except as part of a community forum.  So the one thing that I wanted, an inexpensive way to fill in/out pdf forms on line without printing, manually filling out and scanning back in, so you can email,  is almost impossible to figure out because there is no user manual available.  I tried the community forum but not much help there for a newbie.
【正解】: 2 | 【予測】: 2 (1.9052716) | OOV: 3/25 | 【本文】: Cannit make it work on any of our computers, even parents couldn't figure it out. Major disappointment where it states it is for our sytem.
【正解】: 2 | 【予測】: 2 (1.901099) | OOV: 3/36 | 【本文】: Glitches, bugs, nothing gets fixed. Loved the service, not using the service. Just ended my subscription to them, haven't been able to pause a show for months, just a very bad app, at least on firestick
【正解】: 2 | 【予測】: 2 (1.7669101) | OOV: 3/17 | 【本文】: Got to level 6 and it kicked e out. Started anew and got kicked out. Bye bye
【正解】: 2 | 【予測】: 2 (1.8686811) | OOV: 2/6 | 【本文】: I can't read my magazines :-(
【正解】: 2 | 【予測】: 2 (1.9125547) | OOV: 9/94 | 【本文】: Loved this game when I first got now its very Aggrivaing.  When I try to play it keeps kicking me out back to the app pagr.  I thought it might be my Kindle because this one is old so I bought a new one and got the same results so not the I ndle.  I just wish they would fix this issue  sometimes I have to start the game six or more times before being able to play the game.  So you now can understand why I get aggravated
【正解】: 2 | 【予測】: 2 (1.8733045) | OOV: 3/13 | 【本文】: Don't use the Sept 19 update. It fails with a connection error. Unplayable.
【正解】: 2 | 【予測】: 2 (1.9012733) | OOV: 21/133 | 【本文】: I just wanted to RIP some of my DVD’s to my Windows 7 hard drive so I could have some entertainment on a research vessel for a week.<br /><br />Though the interface was intuitive even slick - the results were nothing but painful.  I could not create a file that windows media player could use properly.  Files were too fat. and RIP time was longer that the play time of the DVD.  Ended up just transferring my DVD’s to a CD soft case.<br /><br />I use to have a RIP that worked fine in the past - cannot find it anymore.<br /><br />This my be useful in creating DVD-R backups to your DVD’s but it is hopeless if you want to RIP your DVD’s to your hard drive for playback.
【正解】: 2 | 【予測】: 2 (1.9130085) | OOV: 4/22 | 【本文】: I've tried 3x's to download this, but it just sits there and pretends to be doing something, when in fact it isn't.
【正解】: 2 | 【予測】: 2 (1.8886695) | OOV: 1/4 | 【本文】: Not what expected 👎🏻
【正解】: 2 | 【予測】: 2 (1.9000828) | OOV: 1/7 | 【本文】: Stopped playing due to ask the crashing.
【正解】: 2 | 【予測】: 2 (1.8953373) | OOV: 10/94 | 【本文】: The program is slow and tedious,and seems to concentrate more on games and videos than on teaching the language. It's extremely complicated to follow, and the only thing I've gained any useable information from are the vocbulary CDs, and you can get those with many other, far less expensive programs. Few people are going to sit by their copmputer waiting for videos to load so they can take a multiple choice test, which seemed to be a large part of the practice. I got more out of "The Complete Idiot's Guide to Learning Italian."
【正解】: 2 | 【予測】: 2 (1.9167063) | OOV: 2/26 | 【本文】: Keeps saying update but no update option! Not going to purchase any money for pots and pans then not be able to play the game. Ggrrrrrrr!
【正解】: 2 | 【予測】: 2 (1.862881) | OOV: 1/23 | 【本文】: Poor picture quality. Also the camera view was outside of the action a noticeable amount of time. Also little sound from stadium announcements.
【正解】: 2 | 【予測】: 2 (1.9159307) | OOV: 1/6 | 【本文】: Spite to open on my firetv.
【正解】: 2 | 【予測】: 2 (1.854916) | OOV: 4/37 | 【本文】: I have not been able to hear iowa basketball with this app!  IT'S very dissappointing as sometimes I have to work away from my home and would like to be able to hear the IOWA HAWKEYES!!
【正解】: 2 | 【予測】: 2 (1.7582331) | OOV: 5/55 | 【本文】: I got this game expecting it to be a lot like brlird land, it was fun at first and super cute, but then the game said I had to pay bones to breed my pets. Honestly, what the heck? I would so LOVE this game if I didn't have to do that... :( bummer :(
【正解】: 2 | 【予測】: 2 (1.8967013) | OOV: 25/161 | 【本文】: I have been a Quicken user since the days of DOS, and so I'm accustomed to a decline in functionality with each upgrade of a program that I'm essentially forced to purchase. The latest disappointment is that the shortcut keys, such as CTRL+V, CTRL+C, CTRL+D, ALT+SHIFT+U, etc., no longer work properly in Windows 7. This also applies to user-configured shortcuts under "Customize Toolbar". Part of the problem seems to be that Quicken loses focus when shifting between it and another open program, such as Chrome, but even with the focus restored there are other instances where the shortcut keys simply don't work. The "Mondo" patch that is touted on the website does not fix the problem. Rather than elaborating further I will just say that if you are an experienced user of Quicken who utilizes shortcut keys, you will be frustrated. If another company someday decides to create a rival program, I will be more than eager say ALT+F4 to Intuit.
【正解】: 2 | 【予測】: 2 (1.9039655) | OOV: 1/6 | 【本文】: it will not play, no reccomendation
【正解】: 2 | 【予測】: 2 (1.9098469) | OOV: 5/42 | 【本文】: There's a limited content available, but it's ok. The real issue is after EVERY commercial segment [which is the SAME commercials EACH TIME] the show reminds back to the beginning. So you have to FF to find your place each time. Ugh!
【正解】: 2 | 【予測】: 2 (1.8789209) | OOV: 2/10 | 【本文】: Always freezing up and doesn't give me my mods. Ugh
【正解】: 2 | 【予測】: 2 (1.8977723) | OOV: 2/11 | 【本文】: It froze up once I got to a certain level :(
【正解】: 2 | 【予測】: 2 (1.8981377) | OOV: 1/17 | 【本文】: On several devices and operating systems this game runs so slow to the point it is unplayable.
【正解】: 2 | 【予測】: 2 (1.8982091) | OOV: 2/30 | 【本文】: I was very disappointed with it. Actually only used it for a little while. Unreliable on recognition. I am a public speaker so I know how to project and enunciate
【正解】: 2 | 【予測】: 2 (1.862168) | OOV: 2/16 | 【本文】: Very disappointed in content.  Very little actual history, a lot of crap like Duck Dynasty
【正解】: 2 | 【予測】: 2 (1.9052604) | OOV: 3/11 | 【本文】: I didn't care for this software.  Went back to TurboTax.
【正解】: 2 | 【予測】: 2 (1.8621405) | OOV: 2/7 | 【本文】: It's ok but prefer Candy Crush Saga.
【正解】: 2 | 【予測】: 2 (1.8824439) | OOV: 3/41 | 【本文】: Came across this app on my FireTV. It showed that the newest episodes of a show were available. I downloaded but all new episodes are locked. Lots of ads. The episodes I want also aren't available for purchase on Amazon. Bummer.
【正解】: 2 | 【予測】: 2 (1.6083566) | OOV: 1/1 | 【本文】: ugh
【正解】: 2 | 【予測】: 2 (1.6083566) | OOV: 1/1 | 【本文】: ugh
【正解】: 2 | 【予測】: 2 (1.8923666) | OOV: 1/2 | 【本文】: good //
【正解】: 2 | 【予測】: 2 (1.8991977) | OOV: 4/37 | 【本文】: This panicky, frightened little fish jitters along underwater with very little grace and i began to feel i was being mean to it!:) I keep it on my kindle only because the music if beautiful and beguiling!
【正解】: 2 | 【予測】: 2 (1.8995576) | OOV: 3/22 | 【本文】: This does not perform well.  Amazon Fire Stick does not work good for us.  Everything keeps freezing up and hesitates.
【正解】: 2 | 【予測】: 2 (1.8995576) | OOV: 3/22 | 【本文】: This does not perform well.  Amazon Fire Stick does not work good for us.  Everything keeps freezing up and hesitates.
【正解】: 2 | 【予測】: 2 (1.9153388) | OOV: 2/9 | 【本文】: The controls are a bit flaky on my S6
【正解】: 2 | 【予測】: 2 (1.7666004) | OOV: 4/37 | 【本文】: This could be great, but doesn't unlock! I tried unlocking it last year, paid for it, but it never worked. This year is the same. I can still only use the basic stuff even after perchance :(
【正解】: 2 | 【予測】: 2 (1.9131386) | OOV: 3/31 | 【本文】: My wife used this more than I do but she seems to enjoy it from time to time.  she said if ti costs anything, I wouldn't pay for it,,, Unrealistic
【正解】: 2 | 【予測】: 2 (1.8970983) | OOV: 4/31 | 【本文】: Nothing to this.  What can I expect for a free app?  The color painting feature is the most fun for my four year old.  The rest is mindless.
【正解】: 2 | 【予測】: 2 (1.9051119) | OOV: 4/19 | 【本文】: It buffers all the time. We were told ot was our internet speed, but other aps run without buffering.
【正解】: 2 | 【予測】: 2 (1.766187) | OOV: 2/17 | 【本文】: I can watch movies on my laptop and phone, but not on my desktop. Constantly buffers. ???
【正解】: 2 | 【予測】: 2 (1.8483406) | OOV: 3/4 | 【本文】: Sólo vale en EEUU
【正解】: 2 | 【予測】: 2 (1.6083566) | OOV: 1/1 | 【本文】: Dont
【正解】: 2 | 【予測】: 2 (1.8987772) | OOV: 1/13 | 【本文】: Could not install on 3 machines in my house. Very old and incompatible.
【正解】: 2 | 【予測】: 2 (1.8970582) | OOV: 5/25 | 【本文】: I thought it changed you into a zombie,it don't it just lets you add goofy stuff to a picture.the picture in the add is deceiving
【正解】: 2 | 【予測】: 2 (1.8913567) | OOV: 1/2 | 【本文】: Time waster.
【正解】: 2 | 【予測】: 2 (1.889954) | OOV: 15/185 | 【本文】: This game is great, but you may want to buy it elsewhere.  At the time of writing this review, the most current version for this game is 1.12.19, which was released on Android Market on November 10, 2011.  Amazon has version 1.10.10, which was released back in August and has not been updated since then. Since I bought this app from Android Market in October, I have received two updates from Android Market.  If you buy it from Amazon AppStore, Android Market will not update the game to its the most current version for you, and you will be stuck with an old version.<br /><br />In fact, that is a serious problem with Amazon AppStore: too many of its apps are outdated and never receive updates.  Amazon AppStore rarely receive app updates like Android Market frequently does. I have already stopped buying apps from Amazon unless the apps are expensive and 50-percent off. Otherwise, I only use Amazon AppStore for one reason: to grab the daily freebies. I recommend you do the same until Amazon decides to keep their apps up-to-date.
【正解】: 2 | 【予測】: 2 (1.889954) | OOV: 21/199 | 【本文】: This is a good game, but you may want to buy it elsewhere.  At the time of writing this review, the most current version for this game is 1.0.3, which was released on Android Market on October 20, 2011.<br /><br />Amazon has version 1.0.1, which was released back in March 2011.  Amazon does not even have version 1.0.2, which was released a few months ago (back in July or August.)  It is already November, and Amazon still has not updated to version 1.0.2, and likely will never update to version 1.0.3.  If you buy it from Amazon AppStore, Android Market will refuse to update to the most current version for you, and you will be stuck with an old version.<br /><br />In fact, that is a serious problem with Amazon AppStore: too many of its apps are outdated.  Amazon AppStore rarely receive app updates like Android Market frequently does. I have already stopped buying apps from Amazon unless the apps are expensive and 50-percent off.  Otherwise, I only use Amazon AppStore for one reason: to grab the daily freebies. I recommend you do the same until Amazon decides to keep their apps up-to-date.
【正解】: 2 | 【予測】: 2 (1.6083566) | OOV: 1/1 | 【本文】: Irritating
【正解】: 2 | 【予測】: 2 (1.9140849) | OOV: 1/9 | 【本文】: This app was not what I expected I uninstalled
【正解】: 2 | 【予測】: 2 (1.8956959) | OOV: 5/71 | 【本文】: You have to sign in to watch episodes of literally every show. Plus adds, just a rip off of disney+, and It keeps kicking me out. And when I want to watch a movie it will come up with zombies 3 but I can't watch the movie because it only loads clips. How they made it and a lot more things out of topic. Two stars, I don't really<br />Like it.😐
【正解】: 2 | 【予測】: 2 (1.7662987) | OOV: 6/23 | 【本文】: the filters aren't cartoony its more of pencil scetch, there's not alot of filters and the ones that they have kinda stink :/
【正解】: 2 | 【予測】: 2 (1.8950742) | OOV: 2/15 | 【本文】: It looks like I am squishing paper but I GUESS its a good app.... 🙄
【正解】: 3 | 【予測】: 3 (3.3947337) | OOV: 1/7 | 【本文】: Fun game,challenging, but no close or exit
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: OK
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: ok
【正解】: 3 | 【予測】: 3 (3.2751904) | OOV: 46/281 | 【本文】: Generally I give TurboTax high grades for its ease of use, support, and its accuracy.<br /><br />However I've just had an experience that gives me strong cause to reconsider.<br /><br />I entered my pension income from my 1099-R form and it carried it forward to my Pennsylvania State form. There was no way to remove it other than to use the "backdoor" which allows you to X a selection that says something like "my state doesn't require this to be taxed". This is the first time in a dozen years that TurboTax didn't know my state's laws.<br /><br />I spent an hour and a half with a TurboTax rep who was very courteous and generous with her time. However, she researched this, asked colleagues, and stood by Turbotax and told me PA requires tax on "qualified pensions"<br /><br />Spent a lot of time on Google and kept seeing that pensions were exempt. DLed and read the PA 2009 Tax Guidelines and while it is just slightly subject to interpretation it says pretty clearly that they don't tax on pensions. Specifically:<br /><br />INCOME NOT TAXABLE FOR PA PIT PURPOSES: (other items are in the list, of course)<br />* Commonly recognized pension, old age, or retirement<br />benefits paid after becoming eligible to retire, and retiring<br /><br />This review is a "BUYER BEWARE" on using TurboTax. This is an exception, but if I had followed their instructions it would have cost me over $800 and I never would have forgiven myself.<br /><br />My advice is still to use Turbotax given that it only has one other software rival, but if you think something is wrong, follow your gut.<br /><br />Thanks for reading ... Sam
【正解】: 3 | 【予測】: 3 (3.3145285) | OOV: 4/39 | 【本文】: I would give it a 5, but there are so many bugs. Every time I visit another town, game freezes. I then have to uninstall, and download again. It's most annoying, and will probably cause me to uninstall permanently!
【正解】: 3 | 【予測】: 3 (3.2388015) | OOV: 1/10 | 【本文】: Be prepared to spend $$ if you plan on advancing
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: ok
【正解】: 3 | 【予測】: 3 (3.4912019) | OOV: 3/26 | 【本文】: While waiting in doctor's office for appointment.  A very simple game with simple graphics but when you're just looking to pass the time, who cares.
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: Ok
【正解】: 3 | 【予測】: 3 (3.446969) | OOV: 6/65 | 【本文】: When I ordered this the reviews said you could carry your old projects from an older version of Printmaster to this new one.  I WAS UNALBE TO DO THAT!!!!  This version is user friendly, like the old version, but I did not want to recreate my old projects.  Someone tell me why no manufacturers of various software do not include a manual!!!!!!!
【正解】: 3 | 【予測】: 3 (3.493185) | OOV: 3/37 | 【本文】: Sound stops after 1 or 2 beats. Fire 8 7th generation. Was looking forward to incremental speed increase.<br /><br />Changed from 1 to 3 because I think the problem is with the Fire 8 7th generation tablet.
【正解】: 3 | 【予測】: 3 (3.4481564) | OOV: 0/14 | 【本文】: Not really a video but just a bunch of poses that are taught separately.
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: Ok
【正解】: 3 | 【予測】: 3 (3.4498773) | OOV: 0/1 | 【本文】: Fair
【正解】: 3 | 【予測】: 3 (3.4498773) | OOV: 0/1 | 【本文】: FAIR
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: OK
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: Ok
【正解】: 3 | 【予測】: 3 (3.4685063) | OOV: 0/1 | 【本文】: Average
